id,title,release_date,budget,revenue,budget_clean,revenue_clean,release_date_clean,release_year,release_month,budget_missing_flag,revenue_missing_flag,suspicious_flag,financial_status
378348,A Violent Prosecutor,2016-02-03,0,50.0,,50.0,2016-02-03,2016.0,2.0,True,False,True,Revenue Only
301804,Before I Wake,04/07/2016,0,3295624.0,,3295624.0,2016-04-07,2016.0,4.0,True,False,True,Revenue Only
293413,Inside Men,11/19/2015,0,62000000.0,,62000000.0,2015-11-19,2015.0,11.0,True,False,True,Revenue Only
341012,Popstar: Never Stop Never Stopping,06/03/2016,0,9496130.0,,9496130.0,2016-06-03,2016.0,6.0,True,False,True,Revenue Only
245913,Pelé: Birth of a Legend,06-05-2016,0,27312.0,,27312.0,2016-06-05,2016.0,6.0,True,False,True,Revenue Only
168098,Cell,2016-07-06,0,1133031.0,,1133031.0,2016-07-06,2016.0,7.0,True,False,True,Revenue Only
373476,Complete Unknown,08/26/2016,0,187145.0,,187145.0,2016-08-26,2016.0,8.0,True,False,True,Revenue Only
258322,Fasten Your Seatbelts,06-03-2014,,5260000.0,,5260000.0,2014-06-03,2014.0,6.0,True,False,True,Revenue Only
398535,Udta Punjab,17-06-2016,,14900000.0,,14900000.0,2016-06-17,2016.0,6.0,True,False,True,Revenue Only
115893,"The Life and Death of 9413, a Hollywood Extra",16-06-1928,,97.0,,97.0,1928-06-16,1928.0,6.0,True,False,True,Revenue Only
267192,Genius,10-06-2016,0,5681622.0,,5681622.0,2016-10-06,2016.0,10.0,True,False,True,Revenue Only
48502,El Estudiante,10-10-2010,0,170000.0,,170000.0,2010-10-10,2010.0,10.0,True,False,True,Revenue Only
324668,Jason Bourne,07/27/2016,0,415484914.0,,415484914.0,2016-07-27,2016.0,7.0,True,False,True,Revenue Only
316727,The Purge: Election Year,06/29/2016,0,118587880.0,,118587880.0,2016-06-29,2016.0,6.0,True,False,True,Revenue Only
333386,The Duel,06/24/2016,0,4500.0,,4500.0,2016-06-24,2016.0,6.0,True,False,True,Revenue Only
337874,Goat,23-09-2016,0,23020.0,,23020.0,2016-09-23,2016.0,9.0,True,False,True,Revenue Only
372411,Absolutely Fabulous: The Movie,01-07-2016,,37915971.0,,37915971.0,2016-01-07,2016.0,1.0,True,False,True,Revenue Only
274504,The Adderall Diaries,2016-04-15,0,13191.0,,13191.0,2016-04-15,2016.0,4.0,True,False,True,Revenue Only
337703,The Red Turtle,29-06-2016,0,921974.0,,921974.0,2016-06-29,2016.0,6.0,True,False,True,Revenue Only
400411,Satanic,01-07-2016,0,252.0,,252.0,2016-01-07,2016.0,1.0,True,False,True,Revenue Only
371865,Slack Bay,05/13/2016,0,112481.0,,112481.0,2016-05-13,2016.0,5.0,True,False,True,Revenue Only
154441,Till Luck Do Us Part,10/05/2012,0,1672940.0,,1672940.0,2012-10-05,2012.0,10.0,True,False,True,Revenue Only
342213,La caliente niña Julietta,20-03-1981,0,591696.0,,591696.0,1981-03-20,1981.0,3.0,True,False,True,Revenue Only
87081,Prince of Broadway,2008-09-03,0,20400.0,,20400.0,2008-09-03,2008.0,9.0,True,False,True,Revenue Only
48995,The Democratic Terrorist,21-08-1992,0,3142763.0,,3142763.0,1992-08-21,1992.0,8.0,True,False,True,Revenue Only
390734,Kingsglaive: Final Fantasy XV,2016-07-09,0,269980.0,,269980.0,2016-07-09,2016.0,7.0,True,False,True,Revenue Only
340712,Gabo: The Creation of Gabriel Garcia Marquez,04/12/2015,0,19337.0,,19337.0,2015-04-12,2015.0,4.0,True,False,True,Revenue Only
391995,Hillary's America: The Secret History of the Democratic Party,2016-07-01,,13000000.0,,13000000.0,2016-07-01,2016.0,7.0,True,False,True,Revenue Only
